0,ACCIÓN POPULAR,20509374881,PRESENTÓ,2/07/2018,0,0,0,0,0,0,2017
1,ALIANZA PARA EL PROGRESO,20510688661,PRESENTÓ,24/05/2018,328023,18888820,18560797,37449617,1675216,1340897,2017
2,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,20511586101,PRESENTÓ,2/07/2018,1400,0,1400,1400,35693,35693,2017
3,DEMOCRACIA DIRECTA,20555938927,PRESENTÓ,2/07/2018,63183,34665,28518,63183,43866,33119,2017
4,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",20547972491,PRESENTÓ,28/06/2018,354414.1,39082.4,315331.7,354414.1,520378.27,648167.17,2017
5,FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP,20600506201,PRESENTÓ,28/06/2018,287145.06,0,287145.06,287145.06,459028.14,323598.9,2017
6,FUERZA POPULAR,20535603261,PRESENTÓ,2/07/2018,6702060,8340586,-1638526,6702060,1330063,1516847,2017
7,JUNTOS POR EL PERU,20512752765,PRESENTÓ,2/07/2018,0,0,0,0,0,0,2017
8,PARTIDO APRISTA PERUANO,20501723844,PRESENTÓ,2/07/2018,5354153.63,427595.84,4926557.79,5354153.63,1573056.32,1538641.17,2017
9,PARTIDO DEMOCRÁTICO SOMOS PERÚ,20511233527,PRESENTÓ,2/07/2018,53362.66,1914.4,51448.26,53362.66,599545.46,604730.89,2017
10,PARTIDO NACIONALISTA PERUANO,20513482494,PRESENTÓ,2/07/2018,1782563.35,6214.84,1776348.51,1782563.35,623821.32,1267174.09,2017
11,PARTIDO POPULAR CRISTIANO - PPC,20510839201,PRESENTÓ,2/07/2018,1278.12,1247,31.72,1278.72,180457.64,185338.81,2017
12,PERU LIBERTARIO,20601087031,PRESENTÓ,3/07/2018,0,0,0,0,0,0,2017
13,PERU NACION,20601091233,PRESENTÓ,2/08/2018,0,0,0,0,0,0,2017
14,PERU PATRIA SEGURA,20512559507,PRESENTÓ,2/07/2018,392994.63,166380,226614.63,392994.63,51286.53,8791.87,2017
15,PERUANOS POR EL KAMBIO,20600484894,PRESENTÓ,2/07/2018,1185736.26,1185834.81,98.55,1185933.36,2768522.61,1813306.97,2017
16,RESTAURACIÓN NACIONAL,20512226109,PRESENTÓ,28/06/2018,328648.65,194191,134457.65,328648.65,509102.45,325210.8,2017
